 ,DA,SA,LL,CBT,TV,VEC
0.0001,7061,14673,69515,1310,4845,2643
0.0002,488,3332,59075,965,4813,654
0.0003,361,2003,56651,1078,3875,641
0.0004,407,12813,60468,1170,5939,1004
0.0005,1169,12352,323071,1623,11218,3493
0.0006,504,9231,63798,983,5754,909
0.0007,510,616,81251,1248,1268,508
0.0008,524,9908,63685,1294,5052,957
0.0009,674,7161,62875,999,4673,1327
0.001,514,26611,62962,1184,2708,2472
0.002,798,2955,64417,1695,4751,1458
0.003,511,26663,65922,682,4023,1567
0.004,596,2719,59860,1237,2605,584
0.005,1137,13690,57443,949,5356,1708
0.006,457,21835,38273,1099,1810,1836
0.007,995,6448,60667,1128,3688,1317
0.008,1104,6501,61729,1506,5262,1174
0.009,938,23525,64527,783,2123,1723
0.01,786,26226,87160,1170,3445,2404
0.02,1709,1688,63245,1481,3434,1352
0.03,710,7085,37672,759,3179,694
0.04,1383,6461,53703,1187,5105,1871
0.05,828,15276,62509,908,4907,1241
0.06,1059,2978,58706,1234,3334,711
0.07,679,12933,37970,731,4174,1316
0.08,1603,24818,66342,1210,6459,3161
0.09,993,4543,51945,1160,4169,850
0.1,768,17547,41682,903,3838,1810
0.2,707,4456,41602,934,3994,872
0.3,2198,8959,74303,1076,6495,2360
0.4,1373,4549,38839,1082,2765,929
0.5,1395,13675,66173,1037,5170,1801
0.6,644,6157,59245,1001,3709,1075
0.7,833,12090,43349,787,3307,798
0.8,898,14501,76008,1186,5390,1424
0.9,1091,22759,55601,1122,4040,1640
1,2232,15065,73492,941,6258,2291
