tableawards6 , wl3.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV
asyn,72635,9110858,72506,14149704,72671
syn,7805931,16844153,7805801,21882999,7805966
delete, ADA, SA, CBT, LL, TV
asyn,75655,8413439,76515,14054172,75436
syn,2583713,10921496,2584573,16562229,2583493
reorder, ADA, SA, CBT, LL, TV
no framework needed,700,800,4901,1800,3800
swap, ADA, SA, CBT, LL, TV
no framework needed,4800,5700,281303,6401,18600
query, ADA, SA, CBT, LL, TV
prefetching,9202,3447,23570,5113,7645
non-prefetching,1563704,1557949,1578072,1559615,1562147


